2019/8/6,53.55,57.3,57.64
2019/8/7,51.09,56.71,56.39
2019/8/8,52.55,56.66,56.29
2019/8/9,54.36,57.73,57.37
2019/8/12,54.93,57.57,57.18
2019/8/13,57,59.64,59.89
2019/8/14,55.11,57.91,58.23
2019/8/15,54.46,57.48,57.62
2019/8/16,54.78,57.71,59.09
2019/8/19,56.19,58.89,60.11
2019/8/20,56.13,59.38,59.65
2019/8/21,55.6,60.27,60.44
2019/8/22,55.28,59.63,59.98
2019/8/23,54.05,58.63,58.99
2019/8/26,53.51,58.09,58.99
2019/8/27,54.94,59.49,59.91
2019/8/28,55.71,59.68,60.32
2019/8/29,56.62,60.12,60.95
2019/8/30,55.02,58.88,61.12
2019/9/2,N/A,57.07,58.94
2019/9/3,53.86,56.46,58.52
2019/9/4,56.17,58.41,60.75
2019/9/5,56.28,58.87,61.5
2019/9/6,56.4,59.78,62.12
2019/9/9,57.83,61.08,64.08
2019/9/10,57.32,61.17,63.91
2019/9/11,55.61,59.06,61.84
2019/9/12,55.08,58.3,61.26
2019/9/13,54.71,58.31,61.18
2019/9/16,63.05,66.52,68.99
2019/9/17,59.21,62.79,64.14
2019/9/18,58.14,62.28,63.88
2019/9/19,58.14,64.58,64.83
2019/9/20,57.87,63.7,64.6
2019/9/23,58.64,63.46,64.74
2019/9/24,57.17,61.71,62.96
2019/9/25,56.32,61.78,62.94
2019/9/26,56.22,62.01,63.35
2019/9/27,55.9,61,62.06
2019/9/30,54.04,59.55,61.34
2019/10/1,53.55,58.21,60.09
2019/10/2,52.62,56.75,58.04
2019/10/3,52.36,56.76,58.35
2019/10/4,52.79,57.46,59.08
2019/10/7,52.71,57.94,58.73
2019/10/8,52.59,57.08,57.91
2019/10/9,52.58,56.6,58.06
2019/10/10,53.52,58.55,59.96
2019/10/11,54.71,59.65,60.67
2019/10/14,53.52,58.18,59.22
2019/10/15,52.76,58.51,58.79
2019/10/16,53.37,58.59,59
2019/10/17,53.84,59.46,60.37
2019/10/18,53.7,58.7,59.78
2019/10/21,53.23,58.39,59.31
2019/10/22,54.16,58.75,59.8
2019/10/23,55.85,60.26,61.25
2019/10/24,56.08,60.77,61.77
2019/10/25,56.49,61.27,62.23
2019/10/28,55.55,60.78,60.75
2019/10/29,55.29,60.86,60.77
2019/10/30,54.8,60.09,59.97
2019/10/31,53.97,58.41,59.51
2019/11/1,55.99,60.08,61.45
2019/11/4,56.28,60.31,62
2019/11/5,56.99,61.07,62.8
2019/11/6,56.1,60.02,61.77
2019/11/7,56.86,60.58,62.31
2019/11/8,56.97,61,62.75
2019/11/11,56.56,60.65,62.13
2019/11/12,56.62,60.8,61.74
2019/11/13,56.83,61.4,62.65
2019/11/14,56.52,61.12,62.35
2019/11/15,57.49,61.96,63.3
2019/11/18,56.77,60.9,63.05
2019/11/19,54.88,59.45,61.41
2019/11/20,56.66,61.35,63.6
2019/11/21,58.31,62.87,65.41
2019/11/22,57.63,62.78,65.03
2019/11/25,57.74,62.52,64.75
2019/11/26,58.2,63.08,65.08
2019/11/27,58.07,63.07,65.29
2019/11/28,N/A,63.45,64.67
2019/11/29,N/A,60.19,64.49
2019/12/2,55.92,59.8,62.63
2019/12/3,56.1,60.13,63.04
2019/12/4,58.41,61.96,65.59
2019/12/5,58.37,62.44,65.33
2019/12/6,59.15,63.23,66.73
2019/12/9,58.94,63.14,66.28
2019/12/10,59.17,63.23,66.21
2019/12/11,58.69,62.95,65.89
2019/12/12,59.13,63.69,66.76
2019/12/13,60.06,64.63,67.77
2019/12/16,60.16,64.76,67.78
2019/12/17,60.83,65.02,68.75
2019/12/18,60.88,65.54,69.21
2019/12/19,61.25,65.76,69.47
2019/12/20,60.38,65.58,68.76
2019/12/23,60.46,66.02,67.67
2019/12/24,61.14,66.59,69.27
2019/12/25,N/A,66.71,N/A
2019/12/26,61.69,67.29,69.27
2019/12/27,61.73,67.29,68.91
2019/12/30,61.63,68.48,69.94
2019/12/31,61.11,64.99,67.48
2020/1/2,61.14,65.41,67.43
2020/1/3,62.97,67.95,69.72
2020/1/6,63.24,68.16,69.82
2020/1/7,62.67,69.35,70.51
2020/1/8,59.62,65.44,66.57
2020/1/9,59.53,65.18,66.43
2020/1/10,58.99,65.04,66.23
2020/1/13,58.14,64.32,64.28
2020/1/14,58.31,64.34,64.24
2020/1/15,57.81,64.23,63.75
2020/1/16,58.52,64.49,64.65
2020/1/17,58.55,64.16,64.34
2020/1/20,N/A,64.56,64.74
2020/1/21,58.25,63.97,63.58
2020/1/22,56.76,62.44,61.55
2020/1/23,55.46,61.81,61.69
2020/1/24,54.04,60.12,59.6
2020/1/27,53.06,58.43,58.55
2020/1/28,53.3,58.73,59.26
2020/1/29,53.26,58.41,59.06
2020/1/30,52.14,57.85,58.02
2020/1/31,51.53,55.93,57.83
2020/2/3,50.01,53.31,53.5
2020/2/4,49.54,52.68,52.98
2020/2/5,50.82,55.12,55.2
2020/2/6,50.89,54.74,55.42
2020/2/7,50.29,53.51,53.95
2020/2/10,49.54,52.15,53.19
2020/2/11,49.95,52.83,54.05
2020/2/12,51.08,55.42,56.27
2020/2/13,51.36,55.47,56.64
2020/2/14,51.98,55.94,57.53
2020/2/17,N/A,55.89,57.81
2020/2/18,52.05,55.93,58.03
2020/2/19,53.26,57.9,59.77
2020/2/20,53.72,57.42,59.27
2020/2/21,53.31,56.7,58.95
2020/2/24,51.33,54.47,56.62
2020/2/25,49.76,53.17,55.55
2020/2/26,48.64,51.61,53.61
2020/2/27,47.12,49.69,52.2
2020/2/28,44.78,49.43,51.66
2020/3/2,46.73,51.8,53.71
2020/3/3,47.22,51.03,51.71
2020/3/4,46.73,51.29,51.76
2020/3/5,45.85,50.14,50.34
2020/3/6,41.09,44.54,45.41
2020/3/9,31,33.62,34.36
2020/3/10,34.42,35.49,35.94
2020/3/11,33.08,35.02,34.95
2020/3/12,31.51,31.92,30.95
2020/3/13,31.67,33.3,32.78
2020/3/16,28.91,30.44,28.3
2020/3/17,26.91,29.34,26.98
2020/3/18,20.43,28.52,24.92
2020/3/19,25.04,28.36,25.32
2020/3/20,19.43,26.4,24.14
2020/3/23,23.28,27.38,24.88
2020/3/24,20.78,27.88,25.25
2020/3/25,20.25,26.67,25.05
2020/3/26,15.85,26.29,23.78
2020/3/27,14.73,24.66,22.18
2020/3/30,13.35,23.75,19.37
2020/3/31,20.46,26.55,14.73
2020/4/1,20.23,24.44,15.55
2020/4/2,25.13,27.88,19.89
2020/4/3,28.31,33.76,24.29
2020/4/6,26.16,33.18,22.69
2020/4/7,23.49,31.98,22.48
2020/4/8,24.92,31.27,25.97
2020/4/9,22.85,28.81,20.19
2020/4/13,22.31,30.65,N/A
2020/4/14,20.1,26.71,22.24
2020/4/15,19.91,24.67,20.1
2020/4/16,19.77,26.44,19.5
2020/4/17,18.26,26.98,19.66
2020/4/20,-37.03,25.22,18.15
2020/4/21,8.86,18.3,11.33
2020/4/22,13.59,20.68,14.24
2020/4/23,14.81,21.73,15.23
2020/4/24,15.49,21.87,16.2
2020/4/27,11.97,21.21,15.02
2020/4/28,11.9,21.57,16.08
2020/4/29,14.54,24.17,17.84
2020/4/30,18.73,29.13,17.71
2020/5/1,19.22,27.02,18.71
2020/5/4,19.97,28.21,21.13
2020/5/5,24.06,31.93,26.49
2020/5/6,23.38,29.72,24.33
2020/5/7,23.18,29.8,24.07
2020/5/8,24.23,31.1,24.07
2020/5/11,23.52,30.19,26.03
2020/5/12,25.26,29.38,26.17
2020/5/13,24.87,30.05,28.24
2020/5/14,26.9,32.46,29.68
2020/5/15,28.94,32.79,31.18
2020/5/18,31.33,35.49,34.08
2020/5/19,31.8,34.12,32.96
2020/5/20,33.06,35.25,34.8
2020/5/21,34.15,35.88,34.59
2020/5/22,33.34,35.4,33.79
2020/5/25,N/A,35.89,N/A
2020/5/26,34.6,36.1,33.76
2020/5/27,32.75,34.11,32.29
2020/5/28,33.62,35.74,34.12
2020/5/29,35.52,37.64,35.85
2020/6/1,35.44,37.76,37.02
2020/6/2,36.83,39.12,37.7
2020/6/3,37.28,37.91,37.65
2020/6/4,37.37,39.22,38.29
2020/6/5,39.44,41.28,40.82
2020/6/8,38.12,40.57,39.65
2020/6/9,38.93,39.71,40.17
2020/6/10,39.49,40.2,40.84
2020/6/11,36.38,37.79,37.48
2020/6/12,36.19,38.16,38.82
2020/6/15,37.02,38.94,39.62
2020/6/16,38.21,39.17,40.62
2020/6/17,37.86,39.31,40.34
2020/6/18,38.74,40.91,41.7
2020/6/19,39.67,41.25,42.04
2020/6/22,40.55,42.46,43.14
2020/6/23,40.35,41.8,42.45
2020/6/24,37.81,39.93,40.39
2020/6/25,38.56,41.04,41.47
2020/6/26,38.48,40.61,40.61
2020/6/29,39.62,41.48,41.58
2020/6/30,39.22,41.61,41.49
2020/7/1,39.83,41.46,42.29
2020/7/2,40.52,42.26,43.02
2020/7/3,N/A,42.09,42.91
2020/7/6,40.46,42.31,42.83
2020/7/7,40.54,42.09,43.22
2020/7/8,40.86,42.75,43.72
2020/7/9,39.59,42.01,42.31
2020/7/10,40.51,42.95,43.15
2020/7/13,40.01,42.03,42.32
2020/7/14,40.25,42.96,43.21
2020/7/15,41.15,43.21,43.88
2020/7/16,40.69,42.51,43.72
2020/7/17,40.5,42.03,43.49
2020/7/20,40.78,42.06,43.17
2020/7/21,41.71,43.29,43.95
2020/7/22,41.83,43.77,43.96
2020/7/23,40.97,42.8,43.02
2020/7/24,41.21,42.71,43.36
2020/7/27,41.41,42.65,43.34
2020/7/28,40.84,42.44,43.08
2020/7/29,41.08,42.9,43.49
2020/7/30,39.8,42.64,43.32
2020/7/31,40.05,43.11,43.12
2020/8/3,40.78,42.97,43.52
2020/8/4,41.62,43.24,43.95
2020/8/5,42.2,43.94,45.02
2020/8/6,41.88,43.86,45.06
2020/8/7,41.11,43.2,44.4
2020/8/10,41.89,43.84,44.15
2020/8/11,41.48,43.46,43.65
2020/8/12,42.55,43.92,45.01
2020/8/13,42.21,43.58,45.01
2020/8/14,42,43.18,44.96
2020/8/17,42.84,43.73,44.83
2020/8/18,42.84,43.72,44.88
2020/8/19,42.86,43.79,45.08
2020/8/20,42.54,43.6,44.45
2020/8/21,42.27,43.48,43.84
2020/8/24,42.39,44.15,44.33
2020/8/25,43.12,45.14,46.2
2020/8/26,43.16,44.83,45.93
2020/8/27,42.83,44.29,44.86
2020/8/28,42.91,44.71,45.39
2020/8/31,42.56,44.54,N/A
2020/9/1,42.71,45.15,45.9
2020/9/2,42.71,43.95,42.65
2020/9/3,41.34,43.31,42.67
2020/9/4,39.64,42.08,40.88
2020/9/7,41.34,41.46,40.66
2020/9/8,36.82,38.58,38.51
2020/9/9,38,39.73,39.83
2020/9/10,37.2,39.04,38.93
2020/9/11,37.28,38.93,38.9
2020/9/14,37.18,38.87,38.68
2020/9/15,38.24,40.15,39.66
2020/9/16,40.12,41.95,41.31
2020/9/17,40.94,42.87,42.27
2020/9/18,41.04,42.87,42.08
2020/9/21,39.21,41.4,40.61
2020/9/22,39.5,41.29,40.88
2020/9/23,39.87,41.12,40.81
2020/9/24,40.06,41.66,41.07
2020/9/25,40.01,41.84,40.78
2020/9/28,40.42,42.21,41.62
2020/9/29,38.98,40.42,40.13
2020/9/30,40,40.58,40.29
2020/10/1,38.46,39.94,39.54
2020/10/2,36.85,38.51,37.63
2020/10/5,39.07,40.95,39.99
2020/10/6,40.47,41.2,40.45
2020/10/7,39.77,41.26,40.76
2020/10/8,40.99,42.68,42.1
2020/10/9,40.39,42.08,41.54
2020/10/12,39.17,41.07,40.62
2020/10/13,39.98,41.64,41.36
2020/10/14,40.81,42.64,41.95
2020/10/15,40.79,42.26,41.42
2020/10/16,40.65,42.05,41.28
2020/10/19,40.64,41.67,41.12
2020/10/20,41.32,41.96,41.27
2020/10/21,39.83,40.92,40.05
2020/10/22,40.36,41.64,41.25
2020/10/23,39.63,41.03,40.51
2020/10/26,38.37,40.02,39.06
2020/10/27,39.32,39.8,39.23
2020/10/28,37.25,38.85,37.69
2020/10/29,35.92,37.36,36.36
2020/10/30,35.62,37.45,36.29
2020/11/2,36.58,38.78,37.55
2020/11/3,37.42,40.21,38.64
2020/11/4,38.95,40.59,39.63
2020/11/5,38.54,39.98,39.38
2020/11/6,36.95,38.98,38.2
2020/11/9,40.03,41.37,40.59
2020/11/10,41.16,43.44,42.67
2020/11/11,41.21,43.54,42.49
2020/11/12,40.88,42.59,41.94
2020/11/13,39.91,42.28,41.38
2020/11/16,41.12,43.48,42.81
2020/11/17,41.22,43.16,42.56
2020/11/18,41.62,43.58,42.68
2020/11/19,41.55,43.59,43.05
2020/11/20,41.97,44.57,44.05
2020/11/23,42.89,45.37,44.73
2020/11/24,44.68,47.06,46.67
2020/11/25,45.55,48.22,47.55
2020/11/26,N/A,47.32,46.31
2020/11/27,45.55,47.81,46.87
2020/11/30,45.15,46.98,47
2020/12/1,44.49,46.31,46.86
2020/12/2,45.18,47.09,47.52
2020/12/3,45.6,47.96,48.47
2020/12/4,46.18,48.42,48.88
2020/12/7,45.67,47.94,48.51
2020/12/8,45.59,47.94,48.8
2020/12/9,45.43,48.27,48.95
2020/12/10,46.71,49.87,50.51
2020/12/11,46.54,49.31,50.1
2020/12/14,46.97,49.78,50.31
2020/12/15,47.53,50.56,50.72
2020/12/16,47.81,50.93,50.88
2020/12/17,48.29,50.86,51.19
2020/12/18,48.99,51.68,52.33
2020/12/21,47.74,50.24,50.53
2020/12/22,46.97,49.26,49.64
2020/12/23,47.89,50.7,51
2020/12/24,48.16,50.76,50.87
2020/12/28,47.47,50.51,N/A
2020/12/29,47.82,50.53,50.49
2020/12/30,48.21,50.75,50.75
2020/12/31,48.32,51.18,51.15
2021/1/4,47.44,50.26,49.97
2021/1/5,49.75,52.8,53.15
2021/1/6,50.42,53.79,53.72
2021/1/7,50.6,54.3,53.84
2021/1/8,52.11,55.51,55.88
2021/1/11,52.12,55.25,54.84
2021/1/12,53.05,56.24,56.16
2021/1/13,52.78,55.37,55.34
2021/1/14,53.44,55.99,55.81
2021/1/15,52.22,54.64,54.68
2021/1/18,N/A,54.47,54.29
2021/1/19,52.84,55.82,55.42
2021/1/20,53.13,55.44,55.25
2021/1/21,52.97,55.65,55.73
2021/1/22,52.23,55.1,54.98
2021/1/25,52.75,55.6,55.46
2021/1/26,52.58,55.49,55.42
2021/1/27,52.78,54.96,54.83
2021/1/28,52.23,54.72,54.78
2021/1/29,52.13,54.76,54.9
2021/2/1,53.52,56,56.26
2021/2/2,54.74,57.36,58.01
2021/2/3,55.64,58.28,58.81
2021/2/4,56.16,58.72,59.27
2021/2/5,56.77,59.01,59.73
2021/2/8,57.92,60.41,60.26
2021/2/9,58.31,60.62,60.94
2021/2/10,58.66,60.5,60.79
2021/2/11,58.19,60.29,60.83
2021/2/12,59.47,61.96,62.69
2021/2/15,N/A,62.42,63.71
2021/2/16,60.04,62.63,64.11
2021/2/17,61.06,63.67,65.56
2021/2/18,60.37,62.02,63.71
2021/2/19,59.09,61.36,62.82
